"marketName","action","usdcAmount","tokenAmount","tokenName","timestamp","hash"
"Bitcoin Up or Down - April 13, 8:00PM-8:15PM ET","Redeem","0","0","","1776127163","0x6cf2e9f24a23dd778238b11c0041d06a300172e5600f0487bcd45e2a7de52cb6"
"Bitcoin Up or Down - April 13, 8:15PM-8:30PM ET","Redeem","0","0","","1776127159","0x337772fa9fe45bdd6fd9a92046c3cf2da8fa87f0057282bcf241918efc84d726"
"Bitcoin Up or Down - April 13, 8:15PM-8:30PM ET","Buy","0.231","0.42","Up","1776126093","0x8708cb31289e5cdadc21fca16fe8efcd0847c0e15fc299f5e6bee9e253e8a066"
"Bitcoin Up or Down - April 13, 8:15PM-8:30PM ET","Buy","2.794","5.08","Up","1776126093","0x9be8c2d58e9e84619e8e9a06474e9c24f664f1de1d2dd0d86c9a77d8cf5c2743"
"Bitcoin Up or Down - April 13, 8:00PM-8:15PM ET","Buy","0.0741","6.88182","Up","1776125539","0xeb68b710fbe9a509103f0a4449e488a287ee1fa3137ef08cb216e71136062dd5"
"Bitcoin Up or Down - April 13, 5PM ET","Redeem","0","0","","1776125163","0xb57bb37def32b55a99d2de4abe574ea64699ed15b3da1281a5bacb5b3106afa3"
"Bitcoin Up or Down - April 13, 8PM ET","Buy","2.9733","5.42016","Up","1776125109","0x6aecab26412c166b550446768ebd6e2796d9dfe379ab20fcbcdcc61095bcfb2f"
"Bitcoin Up or Down - April 13, 7:45PM-8:00PM ET","Redeem","0","0","","1776124975","0x505a47b4c41a8bcffe53498dfaf535a484bd94dd3bfa26afeaca91e783c56bfd"
"Bitcoin Up or Down - April 13, 7:45PM-8:00PM ET","Redeem","5.94","5.94","","1776124955","0x0ce4b8d27ff2c031446c690645816e7d8594b5257698a99b394d3f96c1e6cb26"
"Bitcoin Up or Down - April 13, 7:45PM-8:00PM ET","Buy","1.41","2.82","Down","1776124467","0xd9438993969adbdd7772159f7ff844334811797ea78e9aa4087961e4b5cb57d3"
"Bitcoin Up or Down - April 13, 7:45PM-8:00PM ET","Buy","1.41","2.82","Down","1776124467","0xb226f72e8b074be60d3e446497762e4dfe4e72b5c5adaa9cead494088e257f34"
"Bitcoin Up or Down - April 13, 7:45PM-8:00PM ET","Buy","0.15","0.3","Down","1776124467","0x8f0d75b5cf98c94535c348844b5f0c3193a8f54f5a99956d85ebf142c09c6317"
"Bitcoin Up or Down - April 13, 7:30PM-7:45PM ET","Redeem","5.41","5.41","","1776124079","0x18c107c3f3d5f7bdfcdb80b3dd0d72b72618a95e6861ca5d15ffdc526953ee13"
"Bitcoin Up or Down - April 13, 7:15PM-7:30PM ET","Redeem","0","0","","1776124071","0x6ae75f8bdfc4eb708575b90ead2835bb1295b27f7db240df1e30a4a307fd050d"
"Bitcoin Up or Down - April 13, 7:15PM-7:30PM ET","Redeem","0","0","","1776124019","0x35ea1598f58cc009c6ac1cbd79982f3fa342da3d3df8b885e77528584710901c"
"Bitcoin Up or Down - April 13, 7:30PM-7:45PM ET","Buy","0.5376","0.96","Down","1776123191","0x0b8b562f1cc176fb651ef5d7d7e6df1a59330a8a27f9eb8963d48620b23295a0"
"Bitcoin Up or Down - April 13, 7:30PM-7:45PM ET","Buy","2.492","4.45","Down","1776123191","0x850a8a7643d53934db1cee4422571e3f8adad69d349fa5fd4bb7d6d60e1008f4"
"Bitcoin Up or Down - April 13, 7PM ET","Buy","2.967","6.45","Down","1776122427","0x243be2a7f75ad0dad79c5c7b729dc0b330e87350ac9dbca81d1ec7f7fb4c9cf6"
"Bitcoin Up or Down - April 13, 7:15PM-7:30PM ET","Buy","2.9736","5.31","Down","1776122423","0xe94b13f6d482a55db8b4aba7a173224898db58ea54ab232a91b733b47fb0212b"
"Bitcoin Up or Down - April 13, 5:15PM-5:30PM ET","Redeem","0","0","","1776116441","0xab6a26385949d414cdfa8cc48ea085db05b72b2a9c11126e6861fc3027b6bfb3"
"Bitcoin Up or Down - April 13, 5:30PM-5:45PM ET","Sell","6.18469","6.32","Up","1776116431","0x6f2e846beea46fc542c30d7a9f820c15cba7ee013bbf9d9b8eb165de9e76b593"
"Bitcoin Up or Down - April 13, 5:30PM-5:45PM ET","Buy","2.8996","6.3243","Up","1776115905","0x66689ab505fee30819ed09a391edac8d23ef14cd4a18c866dcb3dc2bed49e016"
"Bitcoin Up or Down - April 13, 5:15PM-5:30PM ET","Buy","1.5502","6.36634","Up","1776115159","0x795dc494b054a2a388eb1f58622ce950f6bc64b04d5ee46fdac2d8f9ca0ead96"
"Bitcoin Up or Down - April 13, 5PM ET","Buy","2.0224","6.01058","Down","1776114813","0xcb601bc91da4a2f598582d3311fccba0e22f7a8da2de6e59f37dec27550094f4"
"Bitcoin Up or Down - April 13, 5:15PM-5:30PM ET","Sell","5.22757","12.38","Up","1776114699","0x936e16736ab0357757c1ea52d26cce7d4028e23cb390e027b0f542448aab8cb2"
"Bitcoin Up or Down - April 13, 5:15PM-5:30PM ET","Buy","2.9025","6.19458","Up","1776114677","0x090eeaeda2f608d53ce48377c1678b2a86d0b61b011f32a9900453ddd144d715"
"Bitcoin Up or Down - April 13, 5:15PM-5:30PM ET","Buy","2.9025","6.19458","Up","1776114625","0x9d20df3f331db7b7aaf4939afe8fd209fea6bc56fcf3eaa67e7e98022aa9db49"
"Bitcoin Up or Down - April 13, 5PM ET","Buy","3.0294","5.4242","Down","1776114091","0x66b4bac32cfd38bf2fd7e751b6348394fc3e4b718dafe1021a88fd0f05d674a1"
"Bitcoin Up or Down - April 13, 2PM ET","Redeem","0","0","","1776114011","0xf996dc3d040b753b7fab401aaf6e2d0d310631b1f3b2c4617f5928d48127b0ea"
"Bitcoin Up or Down - April 13, 2PM ET","Redeem","0","0","","1776113997","0xbc25ec8ff361f4331235a6baf6c24778e18f4cc3297ed68f38eb03063fa7ffc6"
"Bitcoin Up or Down - April 13, 4PM ET","Sell","10.54581","10.66","Down","1776113657","0xccdf73f9d8ea23318cb3e6e44bd4b08491955490e70614ed2c5aae255f3e2fb0"
"Bitcoin Up or Down - April 13, 4:15PM-4:30PM ET","Redeem","0","0","","1776112429","0x88d0ac07af16d67217328f516ce303a51a84c8571e822992218fa69c8735710a"
"Bitcoin Up or Down - April 13, 4:15PM-4:30PM ET","Buy","2.9733","5.62432","Down","1776111309","0xd207449ab7ef976e9a92c22c0c041142dabd6de5860238239586e2cbfabd6f59"
"Bitcoin Up or Down - April 13, 4PM ET","Buy","2.9754","5.05839","Down","1776110955","0x86a519a7f0c6deeeb89c4031b97ef82f90727412b172ed98e2b46fff2713660b"
"Bitcoin Up or Down - April 13, 4PM ET","Buy","3.0294","5.61","Down","1776110861","0x3dc0c176027ed0255a96d1d56f99b3dc64f10d75baed317eceb6173bf73830ca"
"Bitcoin Up or Down - April 13, 3PM ET","Sell","0.024730000000000002","26.64","Down","1776110183","0x2baf443e9f2c04571b0acb05bdf798de4a6931ebd7e73e0fd18bba1e5e5b897c"
"Bitcoin Up or Down - April 13, 3PM ET","Buy","1.7142","26.63639","Down","1776108661","0xca1b9a53831e5e56cfcf26655c833c8f4a46f5316f45e2638374deafa93708da"
"Bitcoin Up or Down - April 13, 3PM ET","Sell","0.22732","4.88","Down","1776108659","0x5bba6538b2ce83799d71fd458f10fe3ed64647eec18e099bf2e2e77243690df3"
"Bitcoin Up or Down - April 13, 3:30PM-3:45PM ET","Sell","12.04284","28.52","Up","1776108361","0x7e2de0b71c8ea68c6894b7ec4e05907e35a069e1acda9d2052b9ea13b71b8419"
"Bitcoin Up or Down - April 13, 3:30PM-3:45PM ET","Buy","2.673","5.70478","Up","1776108323","0x59001487d42e68c3785a8e1530ab66fbcdd4ca981ec2dfaa001a989c7d16b064"
"Bitcoin Up or Down - April 13, 3:30PM-3:45PM ET","Buy","2.673","5.70478","Up","1776108277","0xe0b2365791f63f8c6da63d7dbecb6d48bf0fffd6c46e67a88897f089cdd782a8"
"Bitcoin Up or Down - April 13, 3:30PM-3:45PM ET","Buy","2.673","5.70478","Up","1776108225","0x14ff917e92c97a2bd2f33d02b30660bb75457269587230b6376ab5428029d3f4"
"Bitcoin Up or Down - April 13, 3:30PM-3:45PM ET","Buy","2.673","5.70478","Up","1776108175","0x7282d4fa9fba30b38b21e24f8be89e41bb78b71e27110c95748b4c303c58bcbb"
"Bitcoin Up or Down - April 13, 3:30PM-3:45PM ET","Buy","2.673","5.70478","Up","1776108125","0xf2b5010c3f5b4c30e75949971d7846a1c18e80dbf5f744e44e312ea249f4e799"
"Bitcoin Up or Down - April 13, 3PM ET","Buy","2.8728","4.88397","Down","1776107725","0x9949ce72967758c3c7a7f48026da062de3a07750a781bc5f55ed9da0bdb2e6e9"
"Bitcoin Up or Down - April 13, 2:45PM-3:00PM ET","Redeem","0","0","","1776107479","0x6566aedb732305ef04fe99f64ee5c0642f1db744dc7ec51c7ed3112de3dcf336"
"Bitcoin Up or Down - April 13, 2:45PM-3:00PM ET","Redeem","0","0","","1776107299","0x2591404472a7a9508bd05c8f5450dc446cf32d9dc60e297a6b346fd82eb36a60"
"Bitcoin Up or Down - April 13, 3:00PM-3:15PM ET","Sell","0.87639","5.83","Up","1776107283","0x40ccbef9d85f223d1e3e47ec6c75418f617ec88646e70545130e669e518618f0"
"Bitcoin Up or Down - April 13, 2:45PM-3:00PM ET","Redeem","0","0","","1776107157","0x800d7070214b175f93cb5c433e75a39134b5c07576b35b13e949061c64b7d316"
"Bitcoin Up or Down - April 13, 2:45PM-3:00PM ET","Redeem","5.94","5.94","","1776107117","0x7b836391cc37153ea012cdffad2a4d4fb69a51b51e80efb36f176a4605804674"
"Bitcoin Up or Down - April 13, 12PM ET","Redeem","0","0","","1776106293","0xa575da1405179206ed6c084d1cd3482c5c2ce89b0c062a8e32e907b6b75ab62c"
"Bitcoin Up or Down - April 13, 2:30PM-2:45PM ET","Redeem","5.94","5.94","","1776106091","0xf711448aa47b1f2bbf8b72a1a900eee383f3424cbc7d0ca2711f640414fc17ed"
"Bitcoin Up or Down - April 13, 3:00PM-3:15PM ET","Buy","2.9694","5.837479999999999","Up","1776106073","0x8847a86455361b2796e559a88b92cc55f15b888f96f48d7c0e4cb92b79266216"
"Bitcoin Up or Down - April 13, 2:45PM-3:00PM ET","Buy","2.97","5.94","Up","1776105443","0x6fd6103a464edd7bcea1ed7bae46727e88da928641a5cf38c9bc827e73eab03a"
"Bitcoin Up or Down - April 13, 2:30PM-2:45PM ET","Buy","2.97","5.94","Up","1776104509","0xf44de86eee4666ceb8496ae49b6a4164c357dd492f6463dd42bd1e0c4f8e642b"
"Bitcoin Up or Down - April 13, 2PM ET","Buy","2.7176","6.060630000000001","Down","1776104279","0xf9dadc2e865b4378ceaaeb3d288d3872718c9fbdfea4ccef1070f0e86f3ef8ae"
"Bitcoin Up or Down - April 13, 2PM ET","Sell","2.3224299999999998","5.5","Down","1776104109","0xe143f249a41004205b6c59f1a7fc68322dffef73d8ec2caca70d849b597c980b"
"Bitcoin Up or Down - April 13, 2:15PM-2:30PM ET","Sell","2.8037300000000003","5.94","Up","1776103879","0xa8b6a7b01afac7c2e5df9e52c64cd524a5d3614ca9fef148120f4d9942fa6e61"
"Bitcoin Up or Down - April 13, 2:15PM-2:30PM ET","Buy","2.97","5.94","Up","1776103815","0x464b08783070783da590e52ea16229f16b4770878b64763a39eff91a24f41c28"
"Bitcoin Up or Down - April 13, 2PM ET","Buy","2.9121","5.50856","Down","1776103689","0x1d2094bd6fd9f742f789dd000481c20ab6f6be18937f2a802508becb4a884840"
"Bitcoin Up or Down - April 13, 2:00PM-2:15PM ET","Sell","2.69825","5.84","Down","1776103097","0xd3a6e11cdee459a36faad43c54771917cfa2cbb739c9729b9755046acad0479d"
"Bitcoin Up or Down - April 13, 1PM ET","Sell","18.35743","37.16","Down","1776102841","0x486a1cebea7859dfc4d16183b5e4a2dc8f5710e0e75b5a9cf7a373bb649abb8f"
"Bitcoin Up or Down - April 13, 1PM ET","Buy","1.2632","29.397199999999998","Down","1776102469","0x70be3d32f5aba2d6aa1dc2f023778a93cf6dec9227116aca48cb2d46b0e9d432"
"Bitcoin Up or Down - April 13, 2:00PM-2:15PM ET","Buy","3.03","5.8418399999999995","Down","1776102469","0x7535b043ea814a2dc14c00816d743974bd3aa010333b10239b87b8e086298206"
"Bitcoin Up or Down - April 13, 1PM ET","Buy","1.8906","7.764290000000001","Down","1776101281","0x65233bdae5b78c8802d27463d35e2700d3e8ae101ba08ae9e5b01cd4c6cd761a"
"Bitcoin Up or Down - April 13, 12:30PM-12:45PM ET","Redeem","0","0","","1776100857","0xb4aaec3d8152b5f40ddf0793eef8ebd184fd48cb8808d09274be17ccc3747621"
"Bitcoin Up or Down - April 13, 12:00PM-12:15PM ET","Redeem","0","0","","1776100857","0xb4aaec3d8152b5f40ddf0793eef8ebd184fd48cb8808d09274be17ccc3747621"
"Bitcoin Up or Down - April 13, 12:00PM-12:15PM ET","Redeem","0","0","","1776100789","0x8cea56e44d64941d3bf5adb888b80e307db0dc6bcc71dbdc9005d4db3cbb6338"
"Bitcoin Up or Down - April 13, 12:30PM-12:45PM ET","Redeem","6.19458","6.19458","","1776100783","0x19dc6de7a07381cc09bd17798f82dc75d1d43f7f3e39fc3c125a0759971f8a5a"
"Bitcoin Up or Down - April 13, 12PM ET","Buy","1.5996","12.48542","Down","1776097503","0x28d35da5de3c607898538fed47a5b53134e8c9c08e720e34f5352975970994c8"
"Bitcoin Up or Down - April 13, 12:30PM-12:45PM ET","Buy","2.9025","6.19458","Up","1776097503","0xdf9ee19a4f65096dd345d0a4a37bc6c2b9ad948c4bdf73b54bf4c1ef169d65f2"
"Bitcoin Up or Down - April 13, 12:00PM-12:15PM ET","Redeem","5.72189","5.72189","","1776097075","0x559eea47f07b11a763034410ce32b98808b5ce93f379ebc15c4f6a48d9c3cb1d"
"Bitcoin Up or Down - April 13, 12:00PM-12:15PM ET","Buy","2.9106","5.72189","Up","1776096007","0xb9a20236369f61c0bae0b28de81d2d6df87d497e0754f24d9c85d2a077614ee6"
"Bitcoin Up or Down - April 12, 3:45PM-4:00PM ET","Redeem","0","0","","1776024665","0x414f0f6a11b6cb6099d399964477b68046c55d402f47d039bf5ec44c7c6eb9d2"
"GPT-5.4 released by March 5?","Redeem","0","0","","1776024049","0xfbb243613f6fec5a3bd2ab12c3552f182b8016d380c4d760c3a84547c2cb9a83"
"Bitcoin Up or Down - April 12, 3:45PM-4:00PM ET","Buy","1","4.712","Up","1776023909","0x5e64e461b14e5df8bc3a2c3a5b605abb401c129408b8a130cd40953238d87065"
"Will Germany join the Board of Peace?","Redeem","5.08","5.08","","1775889421","0x57c788d121e371121a13ffc36a6c2fc1cef8b02dd0c51c8358c7751f53361e21"
"Will the U.K. join the Board of Peace?","Redeem","5.1","5.1","","1775889421","0x57c788d121e371121a13ffc36a6c2fc1cef8b02dd0c51c8358c7751f53361e21"
"GPT-5.4 released by March 5?","Buy","40.47","269.8","No","1772730179","0xd1a0f1e2cfad510c43f7224d1cd5eb467ad2978d3288ccafbf2f5e56a2e3693b"
"GPT-5.4 released by March 5?","Buy","6.3","30","No","1772728107","0x57a6e30afa5a56c1b2d131bc0960b00274ee3e3f141689f67dd2287861f93c67"
"GPT-5.4 released by March 5?","Buy","9.999999","47.619046","No","1772727891","0x3b4452ce7fe7149bb3a025acce0218e7e59622d5c8746473bed8fd04670e291d"
"Will Germany join the Board of Peace?","Buy","4.99364","5.08","No","1772726277","0xc11315ddd532717398798553fdd2acac6157b7a4c025701dad89b0778e465dd2"
"GPT-5.4 released by March 5?","Buy","10","40","No","1772726043","0x566e39e815a95f9c00db5545cc5be276bf8a2eee6e389e900f081d44b6df3364"
"Will the U.K. join the Board of Peace?","Buy","4.998","5.1","No","1772724955","0x1a175764db950e384187cfea174e0f1f8f408f8330adaf8b4c90dd644462db59"
"Bitcoin Up or Down - March 5, 7AM ET","Redeem","0","0","","1772722947","0xc177d5baf9aeee11510e3170936c45f6a3899f6ee91b4153050876a832e2f870"
"XRP Up or Down - March 4, 10:00PM-10:05PM ET","Redeem","0","0","","1772722291","0xec250efe54a8e706d4f1af55ec74ba5172ef22820f96e525114ac493bad1ac69"
"Ethereum Up or Down - March 4, 9:50PM-9:55PM ET","Redeem","0","0","","1772722291","0xec250efe54a8e706d4f1af55ec74ba5172ef22820f96e525114ac493bad1ac69"
"XRP Up or Down - March 4, 9:55PM-10:00PM ET","Redeem","0","0","","1772722291","0xec250efe54a8e706d4f1af55ec74ba5172ef22820f96e525114ac493bad1ac69"
"Ethereum Up or Down - March 4, 10:00PM-10:05PM ET","Redeem","0","0","","1772722291","0xec250efe54a8e706d4f1af55ec74ba5172ef22820f96e525114ac493bad1ac69"
"Bitcoin Up or Down - March 5, 1:55AM-2:00AM ET","Redeem","0","0","","1772722291","0xec250efe54a8e706d4f1af55ec74ba5172ef22820f96e525114ac493bad1ac69"
"Bitcoin Up or Down - March 5, 7AM ET","Redeem","8.47","8.47","","1772722281","0xa2fdb3426b552d245e7a4df2b5eeef15120c9fb410df470be2e8202f581509a4"
"Bitcoin Up or Down - March 5, 2AM ET","Redeem","0","0","","1772719609","0x44a9f9569ee7233016b3ded40d5d264b2f149f93903430af576855c592302136"
"Bitcoin Up or Down - March 5, 8:30AM-8:45AM ET","Redeem","17.6936","17.6936","","1772719609","0x44a9f9569ee7233016b3ded40d5d264b2f149f93903430af576855c592302136"
"Bitcoin Up or Down - March 5, 2AM ET","Redeem","10.94","10.94","","1772718003","0xf186f5fbb1305595592ed4444b0c8f35430b022e17cea27c9f3af87aa1966747"
"Bitcoin Up or Down - March 5, 8:30AM-8:45AM ET","Buy","4.4525","17.6936","Up","1772717931","0x8e8329904296c543da905232a3302279bf0b5b551b2dcb495977b4d61a2fd7ee"
"Bitcoin Up or Down - March 5, 7AM ET","Buy","4.9973","8.47","Down","1772715211","0x5dc091399efb08243dfbb7208a336529c07ac1eb2fd0721504701af13585ac97"
"Bitcoin Up or Down - March 5, 2AM ET","Buy","4.943","10.94","Down","1772694941","0x456e3ad7bd3a7f27f717a614f2bb00ea54e9d6e5248204c9dd6e500b8aaf96a7"
"Bitcoin Up or Down - March 5, 1:55AM-2:00AM ET","Buy","0.234809","26.089496","Down","1772694037","0x23ad0a96269cbdeda970eb67dba0165e063440c91dfd2c7eb1fdc5d3f927c16d"
"GPT-5.4 released by March 5?","Buy","19.999999","71.42857","No","1772684073","0xc7421b08bc1c98c6493e285c53c096db4d4fb86d5876521e5d0f3f8d24bee851"
"Solana Up or Down - March 4, 9:50PM-9:55PM ET","Redeem","0","0","","1772679981","0xbdca9304685fb77149e34a541c473e6df37b26a3ba6c2ab18ef201fc189faca0"
"Solana Up or Down - March 4, 9:55PM-10:00PM ET","Redeem","0","0","","1772679981","0xbdca9304685fb77149e34a541c473e6df37b26a3ba6c2ab18ef201fc189faca0"
"Solana Up or Down - March 4, 9:50PM-9:55PM ET","Redeem","0","0","","1772679947","0x25c15e3bc320950c687d88c1ff8f392ac14acea1e46147c63e55fd201dc56fc5"
"Solana Up or Down - March 4, 9:55PM-10:00PM ET","Redeem","6.84","6.84","","1772679947","0x25c15e3bc320950c687d88c1ff8f392ac14acea1e46147c63e55fd201dc56fc5"
"Ethereum Up or Down - March 4, 10:00PM-10:05PM ET","Buy","2.595","5.19","Down","1772679805","0x9794205ef8a1015e3ede863e48cf65c55dd92c77aed395101d3ab86ac9669983"
"Ethereum Up or Down - March 4, 10:00PM-10:05PM ET","Buy","2.405","4.81","Down","1772679803","0xe0d3f76cc2d5b924ef23ac004d6734a8e64a46c556ba29973ce1625cde8edd4f"
"XRP Up or Down - March 4, 10:00PM-10:05PM ET","Buy","4.725","6.6756","Down","1772679793","0x4173968d5bd47b3fbb3c7a5b001f3cc29a7efca5ba55a7c41616e25a0baf8ff0"
"Solana Up or Down - March 4, 9:55PM-10:00PM ET","Buy","4.9932","6.84","Down","1772679549","0x2821b86d06156d8edd7c208ec49f64691dcf906a6765319be06bcefa8bb925a9"
"XRP Up or Down - March 4, 9:55PM-10:00PM ET","Buy","0.02878","0.048779","Down","1772679545","0x28e679578ddaedd9973d1426880ed4f472166d0e776e52a9430f7bf96dc38f47"
"XRP Up or Down - March 4, 9:55PM-10:00PM ET","Buy","4.9678","8.42","Down","1772679545","0x134b6ace6ac0d15b646f52ef4ba3d96d8e2b2880b8895c37fdf663fada5d0616"
"Solana Up or Down - March 4, 9:55PM-10:00PM ET","Buy","2.6864","11.68","Up","1772679495","0xe41961d15ee905ff21172ffdfb3283a84e85e4e2b5f95b3337de5779aa8cf684"
"Solana Up or Down - March 4, 9:55PM-10:00PM ET","Buy","1.138051","4.948047","Up","1772679495","0x72201cada87657b761404b11eec191e31c7cad3a4e3d15f7e4463990954dd20c"
"Solana Up or Down - March 4, 9:55PM-10:00PM ET","Buy","0.206103","0.8961","Up","1772679493","0x5597ef5fdf64a875d3d6152c56f98eec82a8f4b6ec3d34c8f13d2308081655a6"
"Solana Up or Down - March 4, 9:55PM-10:00PM ET","Buy","0.966","4.2","Up","1772679493","0x5693239f7d6e9a56d1cd5bab1cf899cee0df32dd8498dcb1b438b17097be0b3b"
"Solana Up or Down - March 4, 9:50PM-9:55PM ET","Redeem","5.95","5.95","","1772679479","0x72febd7b943511422be55a4455736309ae0609b7c05d01e65ed9fa2fb6ac197c"
"Ethereum Up or Down - March 4, 9:45PM-9:50PM ET","Redeem","0","0","","1772679361","0xfdddad1e2279e386416951af5e603f363478fbae2487ff3e21f30b0a6522e3ac"
"Solana Up or Down - March 4, 9:45PM-9:50PM ET","Redeem","0","0","","1772679361","0xfdddad1e2279e386416951af5e603f363478fbae2487ff3e21f30b0a6522e3ac"
"Solana Up or Down - March 4, 9:50PM-9:55PM ET","Buy","4.998","5.95","Down","1772679211","0x8926fe41cf1703b2ef59e799e2c3113809d6b9b4a241efbfee7e37e04e06514d"
"Ethereum Up or Down - March 4, 9:45PM-9:50PM ET","Redeem","0","0","","1772679203","0x2625b70dde2c5fadf28651ce7e97568b2bbe9b574d2201345d44c098a7f25caa"
"Solana Up or Down - March 4, 9:45PM-9:50PM ET","Redeem","0","0","","1772679203","0x2625b70dde2c5fadf28651ce7e97568b2bbe9b574d2201345d44c098a7f25caa"
"Ethereum Up or Down - March 4, 9:50PM-9:55PM ET","Buy","2.0618","7.8567","Up","1772679189","0x1d8d9642f0e57ed2a9d4e6e6fcf0627211f4093f6a955968c1b6cf37407e45cd"
"Solana Up or Down - March 4, 9:35PM-9:40PM ET","Redeem","0","0","","1772679183","0x68cf114e7053be6af9a8b9c4b14a191c7a1ebc331fe25a98c03dd705ff68ef23"
"Ethereum Up or Down - March 4, 9:10PM-9:15PM ET","Redeem","0","0","","1772679183","0x68cf114e7053be6af9a8b9c4b14a191c7a1ebc331fe25a98c03dd705ff68ef23"
"Ethereum Up or Down - March 4, 9:35PM-9:40PM ET","Redeem","0","0","","1772679183","0x68cf114e7053be6af9a8b9c4b14a191c7a1ebc331fe25a98c03dd705ff68ef23"
"XRP Up or Down - March 4, 9:40PM-9:45PM ET","Redeem","0","0","","1772679183","0x68cf114e7053be6af9a8b9c4b14a191c7a1ebc331fe25a98c03dd705ff68ef23"
"Bitcoin Up or Down - March 4, 9:25PM-9:30PM ET","Redeem","0","0","","1772679183","0x68cf114e7053be6af9a8b9c4b14a191c7a1ebc331fe25a98c03dd705ff68ef23"
"Bitcoin Up or Down - March 4, 9:30PM-9:35PM ET","Redeem","0","0","","1772679183","0x68cf114e7053be6af9a8b9c4b14a191c7a1ebc331fe25a98c03dd705ff68ef23"
"Solana Up or Down - March 4, 9:45PM-9:50PM ET","Redeem","5.26","5.26","","1772679141","0xd1a5b52e3e0de8247aa26a6b4b769fed84fe2567f220c4706c65bafae7c454bb"
"Ethereum Up or Down - March 4, 9:45PM-9:50PM ET","Redeem","5.26","5.26","","1772679141","0xd1a5b52e3e0de8247aa26a6b4b769fed84fe2567f220c4706c65bafae7c454bb"
"Ethereum Up or Down - March 4, 9:40PM-9:45PM ET","Redeem","0","0","","1772679073","0xe21e671e23efcc45870201372822ac38a8feaab9e684e14bc64731217fb92a9c"
"Solana Up or Down - March 4, 9:40PM-9:45PM ET","Redeem","0","0","","1772679073","0xe21e671e23efcc45870201372822ac38a8feaab9e684e14bc64731217fb92a9c"
"Bitcoin Up or Down - March 4, 9:40PM-9:45PM ET","Redeem","0","0","","1772679073","0xe21e671e23efcc45870201372822ac38a8feaab9e684e14bc64731217fb92a9c"
"Ethereum Up or Down - March 4, 9:40PM-9:45PM ET","Redeem","5.806427","5.806427","","1772678971","0xf0acff808104c0aed7f6261de45a4097f344dc7d260ee0e6f283c6a4e1725964"
"Solana Up or Down - March 4, 9:40PM-9:45PM ET","Redeem","6.488259","6.488259","","1772678971","0xf0acff808104c0aed7f6261de45a4097f344dc7d260ee0e6f283c6a4e1725964"
"Bitcoin Up or Down - March 4, 9:40PM-9:45PM ET","Redeem","7.1358","7.1358","","1772678971","0xf0acff808104c0aed7f6261de45a4097f344dc7d260ee0e6f283c6a4e1725964"
