"marketName","action","usdcAmount","tokenAmount","tokenName","timestamp","hash"
"Bitcoin Up or Down - April 13, 10PM ET","Redeem","0","0","","1776170331","0x60e0796cfb5a92d96c11d7dbe4863beed27f45e033ae0664f38da86fbafccb40"
"Bitcoin Up or Down - April 13, 8PM ET","Redeem","0","0","","1776170329","0x2b91aee73a44066cefc608dc1b90b78bbb81495f97c5c1c8937dc8a70f172e3d"
"Bitcoin Up or Down - April 13, 8:45PM-9:00PM ET","Redeem","0","0","","1776170325","0x66ac53d083340c5972fb41af62eec5ef49e61197fdbd8488e99623fec9101e7f"
"Bitcoin Up or Down - April 13, 9:15PM-9:30PM ET","Redeem","0","0","","1776170313","0x0f002bd64f73211a8b6400d67f8dcc73aa077e5305e916aff1fe9fc6cdb54e84"
"Bitcoin Up or Down - April 13, 9:15PM-9:30PM ET","Redeem","0","0","","1776170307","0x32a12c1d18edf39e625ecdc7af02c93e30be1ab360d3fc3acda152daa05c3820"
"Bitcoin Up or Down - April 14, 6AM ET","Buy","0.12","111.36864","Up","1776164459","0xfb7b5e9814baf4170e4a88735134e98d6636e223e8272e2394f9aaded7080704"
"Bitcoin Up or Down - April 13, 9:30PM-9:45PM ET","Redeem","5.64063","5.64063","","1776164345","0x226fedb75877791d09cf9ee965b8d3a5ff9c6abacfc0c98f2016dfacadabca30"
"Bitcoin Up or Down - April 13, 11:00PM-11:15PM ET","Redeem","6.9","6.9","","1776164345","0x226fedb75877791d09cf9ee965b8d3a5ff9c6abacfc0c98f2016dfacadabca30"
"Bitcoin Up or Down - April 13, 11:00PM-11:15PM ET","Buy","3.036","6.9","Up","1776136493","0x8bcfc1b32d344ebaf58ed7f0459d2fe82e183c433ae105783451a88fbcf4c90b"
"Bitcoin Up or Down - April 13, 10PM ET","Buy","2.6337","5.48851","Up","1776132253","0x6f7e0eb010f1dfb50c7b61d4c2610fcea63b063e590ab2ad344a501ef959ec22"
"Bitcoin Up or Down - April 13, 9:30PM-9:45PM ET","Buy","1.782","5.640630000000001","Up","1776130527","0xd0e7e906e1648c68b7a339a1760ad61cefba58e7ffaf17ac414e6898524c488b"
"Bitcoin Up or Down - April 13, 9:15PM-9:30PM ET","Buy","2.1816","5.78076","Up","1776129493","0x939dbf5a61ec2a6bda37c653d61ff459aa730382fcc8dfe38d017f0018c06b85"
"Bitcoin Up or Down - April 13, 8:45PM-9:00PM ET","Buy","1.3068","5.60641","Up","1776127681","0x747b10fbe2afbb9254473677bdd9ff31ad5c0ed99557ce65a142ada702b709e0"
"Bitcoin Up or Down - April 13, 7PM ET","Sell","6.44309","6.45","Down","1776127563","0x03eb22327169e9eb32b04d9f068441e67c0315f2475526491b71a120aa79370a"
