Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2018-01-01 00:00:00.000000 ,13715.65,13715.65,13400.01,13529.01,443.356199,2018-01-01 00:59:59.999000 ,5993909.836038,5228,228.521921,3090541.10576949,0
2018-01-01 01:00:00.000000 ,13528.99,13595.89,13155.38,13203.06,383.697006,2018-01-01 01:59:59.999000 ,5154521.55513544,4534,180.840403,2430449.49295672,0
2018-01-01 02:00:00.000000 ,13203.0,13418.43,13200.0,13330.18,429.064572,2018-01-01 02:59:59.999000 ,5710192.01852959,4887,192.237935,2558504.65764531,0
2018-01-01 03:00:00.000000 ,13330.26,13611.27,13290.0,13410.03,420.08703,2018-01-01 03:59:59.999000 ,5657448.45730419,4789,137.918407,1858041.25745743,0
2018-01-01 04:00:00.000000 ,13434.98,13623.29,13322.15,13601.01,340.807329,2018-01-01 04:59:59.999000 ,4588046.99615741,4563,172.957635,2328057.92021612,0
2018-01-01 05:00:00.000000 ,13615.2,13699.0,13526.5,13558.99,404.229046,2018-01-01 05:59:59.999000 ,5499054.93688368,5086,142.331058,1935710.15985339,0
2018-01-01 06:00:00.000000 ,13539.0,13800.0,13510.0,13780.41,264.989684,2018-01-01 06:59:59.999000 ,3613407.65944487,4072,126.0775,1718752.71521564,0
2018-01-01 07:00:00.000000 ,13780.0,13818.55,13555.02,13570.35,292.188777,2018-01-01 07:59:59.999000 ,4002026.1321021,4340,147.150029,2016274.76674062,0
2018-01-01 08:00:00.000000 ,13569.98,13735.24,13400.0,13499.99,271.813553,2018-01-01 08:59:59.999000 ,3681944.39646011,3733,122.809696,1664736.99401741,0
2018-01-01 09:00:00.000000 ,13499.97,13670.0,13459.11,13616.99,213.095829,2018-01-01 09:59:59.999000 ,2893104.89463125,3128,96.470199,1309920.92142668,0
2018-01-01 10:00:00.000000 ,13632.0,13657.92,13497.98,13570.01,169.512196,2018-01-01 10:59:59.999000 ,2298368.72853242,2769,68.490957,928574.06347967,0
2018-01-01 11:00:00.000000 ,13573.0,13589.89,13001.13,13220.56,665.334353,2018-01-01 11:59:59.999000 ,8777790.17711175,7570,294.897441,3888876.92051748,0
2018-01-01 12:00:00.000000 ,13220.56,13300.0,13056.23,13172.42,260.492708,2018-01-01 12:59:59.999000 ,3437452.78770231,3618,115.16364,1519720.41601646,0
2018-01-01 13:00:00.000000 ,13150.05,13200.41,12815.7,13017.0,451.901126,2018-01-01 13:59:59.999000 ,5869105.27380765,5719,248.601776,3228414.47167738,0
2018-01-01 14:00:00.000000 ,12999.71,13245.0,12750.0,13211.39,692.467362,2018-01-01 14:59:59.999000 ,8951402.50203648,7132,299.429608,3872687.15593985,0
2018-01-01 15:00:00.000000 ,13211.39,13330.0,13120.38,13247.0,427.071957,2018-01-01 15:59:59.999000 ,5654630.47840924,4888,167.119723,2212216.06892992,0
2018-01-01 16:00:00.000000 ,13247.0,13247.08,12966.42,13018.0,367.393566,2018-01-01 16:59:59.999000 ,4818677.75685736,4004,184.967309,2426692.44094398,0
2018-01-01 17:00:00.000000 ,13018.0,13198.98,13000.0,13022.0,228.572028,2018-01-01 17:59:59.999000 ,2993656.96884031,2978,119.944127,1570736.84184925,0
2018-01-01 18:00:00.000000 ,13007.87,13256.28,12940.0,13135.0,244.366755,2018-01-01 18:59:59.999000 ,3210340.98712073,3267,110.34601,1449282.13619055,0
2018-01-01 19:00:00.000000 ,13135.0,13290.65,13106.61,13240.37,252.004885,2018-01-01 19:59:59.999000 ,3326194.90095603,2929,142.196333,1877608.14843591,0
2018-01-01 20:00:00.000000 ,13222.03,13472.0,13222.03,13399.24,412.026868,2018-01-01 20:59:59.999000 ,5520151.15860527,4245,227.898161,3053204.62099915,0
2018-01-01 21:00:00.000000 ,13399.23,13580.67,13380.82,13481.01,326.923135,2018-01-01 21:59:59.999000 ,4414257.79698157,4392,168.279886,2271814.78896251,0
2018-01-01 22:00:00.000000 ,13494.99,13599.7,13450.96,13452.0,303.301385,2018-01-01 22:59:59.999000 ,4101906.50022201,3711,116.698211,1577965.21046296,0
2018-01-01 23:00:00.000000 ,13455.24,13500.0,13355.01,13380.0,345.218495,2018-01-01 23:59:59.999000 ,4632154.5421008,4013,150.590981,2020964.16467657,0
2018-01-02 00:00:00.000000 ,13382.16,13850.0,13382.16,13750.01,466.596114,2018-01-02 00:59:59.999000 ,6380927.53069182,6011,254.955599,3489536.73003656,0
2018-01-02 01:00:00.000000 ,13769.98,13800.0,13590.0,13600.0,517.461925,2018-01-02 01:59:59.999000 ,7084466.00039719,6012,216.929534,2972097.52487883,0
2018-01-02 02:00:00.000000 ,13611.93,13678.33,13398.0,13522.0,714.534781,2018-01-02 02:59:59.999000 ,9670960.18468168,9402,281.307918,3805361.90366442,0
2018-01-02 03:00:00.000000 ,13520.32,13539.98,13231.96,13353.78,666.940106,2018-01-02 03:59:59.999000 ,8917275.59117996,6887,348.357917,4655288.84070387,0
2018-01-02 04:00:00.000000 ,13353.78,13480.84,12890.02,13127.31,992.418927,2018-01-02 04:59:59.999000 ,13072020.20769638,8714,504.050135,6649544.59419864,0
2018-01-02 05:00:00.000000 ,13129.03,13244.99,13090.7,13166.95,600.002711,2018-01-02 05:59:59.999000 ,7903357.57147624,5021,327.211954,4310210.78436802,0
2018-01-02 06:00:00.000000 ,13166.95,13338.66,13041.5,13255.98,722.310035,2018-01-02 06:59:59.999000 ,9545967.49869788,5077,425.731292,5627114.99970843,0
2018-01-02 07:00:00.000000 ,13256.07,13359.98,13150.0,13343.0,665.58438,2018-01-02 07:59:59.999000 ,8824923.2903453,4002,405.870246,5382065.74866924,0
2018-01-02 08:00:00.000000 ,13343.01,13440.0,13302.59,13326.09,745.643663,2018-01-02 08:59:59.999000 ,9961715.90003298,4378,478.977131,6399789.17624516,0
2018-01-02 09:00:00.000000 ,13342.97,13523.46,13326.1,13452.0,511.54277,2018-01-02 09:59:59.999000 ,6875573.05051263,4383,296.566815,3988157.79717846,0
2018-01-02 10:00:00.000000 ,13460.0,13617.28,13401.6,13560.0,654.454591,2018-01-02 10:59:59.999000 ,8861013.78617446,5114,393.745927,5332072.80118615,0
2018-01-02 11:00:00.000000 ,13566.5,13573.0,13401.05,13490.0,684.54165,2018-01-02 11:59:59.999000 ,9232320.5542984,4638,409.158616,5518230.31436359,0
2018-01-02 12:00:00.000000 ,13490.0,13590.0,13450.46,13489.04,671.205943,2018-01-02 12:59:59.999000 ,9081599.37166522,5411,444.767026,6018779.07792742,0
2018-01-02 13:00:00.000000 ,13489.04,13875.0,13470.41,13864.98,1036.83633,2018-01-02 13:59:59.999000 ,14205791.26338804,9538,622.888065,8534968.66083937,0
2018-01-02 14:00:00.000000 ,13864.95,13894.86,13630.0,13664.4,705.180727,2018-01-02 14:59:59.999000 ,9692832.86484821,7636,401.895566,5524012.01515404,0
2018-01-02 15:00:00.000000 ,13661.21,13739.89,13510.0,13690.03,952.656508,2018-01-02 15:59:59.999000 ,12987036.86897015,6816,571.441429,7790917.1990343,0
2018-01-02 16:00:00.000000 ,13690.02,13842.88,13584.99,13590.02,1020.856756,2018-01-02 16:59:59.999000 ,14041138.65294967,7866,594.777166,8182147.7450446,0
2018-01-02 17:00:00.000000 ,13599.99,13799.65,13503.0,13780.0,817.501105,2018-01-02 17:59:59.999000 ,11196714.5325901,6899,471.88292,6465341.62308624,0
2018-01-02 18:00:00.000000 ,13789.98,14750.0,13755.43,14580.0,1573.60355,2018-01-02 18:59:59.999000 ,22564808.98257459,14697,880.498908,12616910.44513667,0
2018-01-02 19:00:00.000000 ,14576.87,15473.49,14480.0,14732.75,1678.312072,2018-01-02 19:59:59.999000 ,25053235.54945863,19595,918.556049,13718562.28739807,0
2018-01-02 20:00:00.000000 ,14710.02,15160.31,14710.0,14751.0,1150.528492,2018-01-02 20:59:59.999000 ,17214836.6546723,10591,669.416989,10018578.79875552,0
2018-01-02 21:00:00.000000 ,14751.0,14944.99,14544.0,14692.4,906.843821,2018-01-02 21:59:59.999000 ,13359878.95630231,6947,499.011064,7357750.91935592,0
2018-01-02 22:00:00.000000 ,14700.0,15025.0,14685.01,14799.96,858.185273,2018-01-02 22:59:59.999000 ,12730613.66012709,6286,463.822907,6880304.79523652,0
2018-01-02 23:00:00.000000 ,14799.97,14887.08,14600.0,14675.11,764.349881,2018-01-02 23:59:59.999000 ,11258098.90998797,5807,464.505566,6842343.90114678,0
2018-01-03 00:00:00.000000 ,14690.0,14926.22,14660.0,14774.53,661.468616,2018-01-03 00:59:59.999000 ,9782866.63347001,5517,384.029694,5679006.25938769,0
2018-01-03 01:00:00.000000 ,14758.01,14853.53,14660.0,14820.0,788.317514,2018-01-03 01:59:59.999000 ,11641162.85637754,5790,456.932296,6748906.31290853,0
2018-01-03 02:00:00.000000 ,14847.97,15119.9,14744.99,15008.07,822.858852,2018-01-03 02:59:59.999000 ,12253315.42156403,7277,465.479186,6932154.81615471,0
2018-01-03 03:00:00.000000 ,15008.07,15299.99,14750.0,14818.49,1031.188608,2018-01-03 03:59:59.999000 ,15496628.91407138,8521,585.403596,8796480.57334294,0
2018-01-03 04:00:00.000000 ,14805.81,15117.56,14795.05,15019.66,781.021342,2018-01-03 04:59:59.999000 ,11712390.94687737,6594,492.168533,7383529.78052616,0
2018-01-03 05:00:00.000000 ,15031.01,15114.98,14900.0,14988.0,860.383177,2018-01-03 05:59:59.999000 ,12936747.23457305,6034,535.034952,8045589.21607626,0
2018-01-03 06:00:00.000000 ,14980.89,15276.13,14858.01,15242.63,908.687696,2018-01-03 06:59:59.999000 ,13643140.03592656,8554,538.149754,8084997.84536315,0
2018-01-03 07:00:00.000000 ,15242.64,15307.56,15130.24,15170.0,661.609852,2018-01-03 07:59:59.999000 ,10067988.44384855,6666,364.130365,5541798.33024187,0
2018-01-03 08:00:00.000000 ,15170.0,15172.99,14900.0,15002.59,895.934758,2018-01-03 08:59:59.999000 ,13470971.40435021,8049,553.572927,8326389.84895636,0
2018-01-03 09:00:00.000000 ,15002.59,15048.0,14440.0,14519.99,1241.904776,2018-01-03 09:59:59.999000 ,18314218.02757775,11329,637.992492,9409557.73409053,0
2018-01-03 10:00:00.000000 ,14501.05,14855.0,14150.0,14455.55,1271.034018,2018-01-03 10:59:59.999000 ,18262345.3566317,11121,668.274946,9607962.10528943,0
2018-01-03 11:00:00.000000 ,14455.55,14771.84,14200.0,14730.05,793.92939,2018-01-03 11:59:59.999000 ,11611384.04567768,7352,476.888448,6977815.8921497,0
2018-01-03 12:00:00.000000 ,14764.73,14799.0,14400.04,14450.0,614.534955,2018-01-03 12:59:59.999000 ,9003117.63719107,6728,341.480189,5002368.19533259,0
2018-01-03 13:00:00.000000 ,14469.0,14890.0,14401.07,14855.02,380.592932,2018-01-03 13:59:59.999000 ,5593823.60403902,5593,215.283995,3165269.94869266,0
2018-01-03 14:00:00.000000 ,14859.98,15045.51,14758.0,14790.11,581.690557,2018-01-03 14:59:59.999000 ,8656948.53358999,7285,283.359051,4216731.31697602,0
2018-01-03 15:00:00.000000 ,14812.97,15033.77,14790.13,15033.77,505.915681,2018-01-03 15:59:59.999000 ,7543899.72003219,7090,262.785906,3919758.65722056,0
2018-01-03 16:00:00.000000 ,15045.0,15130.0,14901.93,15010.06,477.866959,2018-01-03 16:59:59.999000 ,7179507.4010328,6749,232.27894,3490659.70966952,0
2018-01-03 17:00:00.000000 ,15011.0,15057.2,14779.83,14800.0,389.080093,2018-01-03 17:59:59.999000 ,5820474.81681825,5293,175.837598,2630546.34177907,0
2018-01-03 18:00:00.000000 ,14800.0,14899.86,14697.99,14749.97,430.999286,2018-01-03 18:59:59.999000 ,6374494.9583882,6249,188.43322,2788138.33510964,0
2018-01-03 19:00:00.000000 ,14710.0,14846.13,14671.0,14700.01,361.751015,2018-01-03 19:59:59.999000 ,5341333.8747378,5791,206.856421,3054919.47414387,0
2018-01-03 20:00:00.000000 ,14700.01,14950.0,14683.0,14926.01,343.677881,2018-01-03 20:59:59.999000 ,5082977.45331962,5079,165.588481,2448173.47272093,0
2018-01-03 21:00:00.000000 ,14939.11,14990.0,14830.0,14926.96,191.636316,2018-01-03 21:59:59.999000 ,2857196.34980898,3279,107.060249,1596752.86590438,0
2018-01-03 22:00:00.000000 ,14926.96,14949.0,14799.64,14799.91,260.659165,2018-01-03 22:59:59.999000 ,3875952.3411435,4223,130.892065,1947360.52148238,0
2018-01-03 23:00:00.000000 ,14792.32,14940.82,14710.0,14919.51,648.9242,2018-01-03 23:59:59.999000 ,9593982.32514286,6624,527.040262,7792465.69182913,0
2018-01-04 00:00:00.000000 ,14919.51,14948.0,14710.25,14753.76,820.84674,2018-01-04 00:59:59.999000 ,12149455.37060998,6940,608.858344,9013430.15167021,0
2018-01-04 01:00:00.000000 ,14765.65,15179.0,14649.99,15172.12,1181.627263,2018-01-04 01:59:59.999000 ,17523562.68899062,9267,844.362806,12523026.88565077,0
2018-01-04 02:00:00.000000 ,15175.0,15280.0,15059.0,15110.9,1055.426462,2018-01-04 02:59:59.999000 ,16053116.04486577,9660,583.7624,8880632.6260615,0
2018-01-04 03:00:00.000000 ,15110.9,15119.98,15110.9,15119.97,4.635181,2018-01-04 03:00:14.838000 ,70055.81407438,34,1.445181,21844.74134491,0
2018-01-04 05:00:00.000000 ,15119.97,15119.97,14730.0,14875.1,888.843951,2018-01-04 05:59:59.999000 ,13217032.22275423,7247,467.652514,6954218.7876047,0
2018-01-04 06:00:00.000000 ,14890.0,15100.0,14850.01,14899.01,867.618392,2018-01-04 06:59:59.999000 ,13006762.35738543,7920,498.426369,7472815.58744073,0
2018-01-04 07:00:00.000000 ,14899.01,14900.0,14685.0,14748.0,1083.438099,2018-01-04 07:59:59.999000 ,15991975.84372144,7676,675.005339,9964314.35852812,0
2018-01-04 08:00:00.000000 ,14734.07,14800.0,14211.69,14221.05,1207.568042,2018-01-04 08:59:59.999000 ,17513104.39428027,9451,714.310355,10371449.90609466,0
2018-01-04 09:00:00.000000 ,14221.05,14410.05,13918.04,14299.01,1121.48775,2018-01-04 09:59:59.999000 ,15953649.86933259,10933,568.311449,8098272.71771671,0
2018-01-04 10:00:00.000000 ,14299.01,14523.94,14214.8,14429.0,1037.040763,2018-01-04 10:59:59.999000 ,14913412.77827823,6945,630.098167,9059322.12991237,0
2018-01-04 11:00:00.000000 ,14427.0,14571.78,14280.0,14539.97,973.455496,2018-01-04 11:59:59.999000 ,14032662.45053292,6015,573.660943,8272046.20246575,0
2018-01-04 12:00:00.000000 ,14539.99,14653.4,14181.88,14398.97,915.408594,2018-01-04 12:59:59.999000 ,13227884.45600683,7930,499.62905,7225654.29766597,0
2018-01-04 13:00:00.000000 ,14398.97,14600.02,14360.01,14518.95,872.818456,2018-01-04 13:59:59.999000 ,12656151.62327315,8605,484.840292,7032263.81129361,0
