Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2018-01-01 00:00:00.000000 UTC,13715.65,13818.55,12750.0,13380.0,8609.915844,2018-01-01 23:59:59.999000 UTC,114799747.44197056,105595,3961.938946,52809747.44038045,0
2018-01-02 00:00:00.000000 UTC,13382.16,15473.49,12890.02,14675.11,20078.092111,2018-01-02 23:59:59.999000 UTC,279717107.4337192,177728,11346.326739,158080088.68331683,0
2018-01-03 00:00:00.000000 UTC,14690.0,15307.56,14150.0,14919.51,15905.667639,2018-01-03 23:59:59.999000 UTC,236116868.33619007,162787,8994.953566,133587333.24534808,0
2018-01-04 00:00:00.000000 UTC,14919.51,15280.0,13918.04,15059.54,21329.649574,2018-01-04 23:59:59.999000 UTC,312781583.79830784,170310,12680.812951,186116793.0115893,0
2018-01-05 00:00:00.000000 UTC,15059.56,17176.24,14600.0,16960.39,23251.491125,2018-01-05 23:59:59.999000 UTC,369321956.4868375,192969,13346.622293,211829900.67898223,0
2018-01-06 00:00:00.000000 UTC,16960.39,17143.13,16011.21,17069.79,18571.457508,2018-01-06 23:59:59.999000 UTC,309216920.9864104,158242,11007.164056,183417769.0623772,0
2018-01-07 00:00:00.000000 UTC,17069.79,17099.96,15610.0,16150.03,12493.125558,2018-01-07 23:59:59.999000 UTC,206194706.37068355,120269,6779.320508,112151163.1274352,0
2018-01-08 00:00:00.000000 UTC,16218.85,16322.3,12812.0,14902.54,26600.609912,2018-01-08 23:59:59.999000 UTC,396569997.15746266,208642,13756.844389,206049582.13668823,0
2018-01-09 00:00:00.000000 UTC,14902.54,15500.0,14011.05,14400.0,14315.004253,2018-01-09 23:59:59.999000 UTC,210630187.45766863,156656,6841.233287,100698572.9000214,0
2018-01-10 00:00:00.000000 UTC,14401.0,14955.66,13131.31,14907.09,17411.001655,2018-01-10 23:59:59.999000 UTC,244011366.763028,161476,8529.554675,119570139.80645348,0
2018-01-11 00:00:00.000000 UTC,14940.0,14968.68,11400.0,13238.78,33554.723751,2018-01-11 23:59:59.999000 UTC,446587594.6937379,239416,16422.01998,218762237.37910992,0
2018-01-12 00:00:00.000000 UTC,13238.76,14109.78,12500.0,13740.01,16417.162137,2018-01-12 23:59:59.999000 UTC,222516076.27145907,134452,8117.312075,110040020.181478,0
2018-01-13 00:00:00.000000 UTC,13749.95,14580.0,13706.15,14210.0,12221.508528,2018-01-13 23:59:59.999000 UTC,173086488.54788405,123639,5574.178408,78958098.9463857,0
2018-01-14 00:00:00.000000 UTC,14210.0,14339.5,12569.2,13474.99,17017.894329,2018-01-14 23:59:59.999000 UTC,226525305.12938112,152364,8288.382911,110381556.67259862,0
2018-01-15 00:00:00.000000 UTC,13477.98,14249.99,13147.79,13539.93,14652.094705,2018-01-15 23:59:59.999000 UTC,200614554.538343,145362,7431.063272,101748315.63707082,0
2018-01-16 00:00:00.000000 UTC,13500.0,13542.93,9035.0,10900.0,63401.169175,2018-01-16 23:59:59.999000 UTC,722150828.1494024,418243,30353.401717,346777069.9337464,0
2018-01-17 00:00:00.000000 UTC,10899.99,11680.99,9037.94,10988.79,72331.796646,2018-01-17 23:59:59.999000 UTC,744154180.1312059,517293,35412.798137,365047291.4303791,0
2018-01-18 00:00:00.000000 UTC,10972.59,11878.82,10435.33,10961.97,48464.434937,2018-01-18 23:59:59.999000 UTC,541289614.0584047,393112,23814.382845,266091805.66522688,0
2018-01-19 00:00:00.000000 UTC,10960.0,11795.0,10360.0,11474.98,34129.375421,2018-01-19 23:59:59.999000 UTC,382773499.2265792,273271,16871.416355,189259676.8922224,0
2018-01-20 00:00:00.000000 UTC,11474.98,13099.0,11412.45,12799.94,28768.857827,2018-01-20 23:59:59.999000 UTC,358561107.78097045,251647,14389.196005,179183657.90470728,0
2018-01-21 00:00:00.000000 UTC,12799.8,12799.8,10965.0,11530.0,41379.773426,2018-01-21 23:59:59.999000 UTC,485289230.8188924,360207,20574.760061,241154449.9818349,0
2018-01-22 00:00:00.000000 UTC,11530.0,11926.35,9900.24,10760.05,43752.606791,2018-01-22 23:59:59.999000 UTC,475716514.20869696,363264,21300.575828,231677479.125622,0
2018-01-23 00:00:00.000000 UTC,10760.05,11399.0,9905.0,10799.18,37473.922552,2018-01-23 23:59:59.999000 UTC,399419413.2329807,355286,18747.793828,199899519.2732997,0
2018-01-24 00:00:00.000000 UTC,10799.14,11570.48,10500.0,11349.99,27158.587762,2018-01-24 23:59:59.999000 UTC,299470607.4302002,293429,13087.393088,144335221.62540215,0
2018-01-25 00:00:00.000000 UTC,11349.96,11794.05,10950.21,11175.27,20839.954183,2018-01-25 23:59:59.999000 UTC,236081364.97365227,221040,10201.386919,115584688.24733494,0
2018-01-26 00:00:00.000000 UTC,11184.7,11643.0,10311.15,11089.0,33056.87196,2018-01-26 23:59:59.999000 UTC,360482470.17375433,314720,15330.789553,167328952.39330244,0
2018-01-27 00:00:00.000000 UTC,11089.0,11650.0,10842.69,11491.0,18860.768345,2018-01-27 23:59:59.999000 UTC,212663199.53348225,207478,9208.937963,103935891.79616304,0
2018-01-28 00:00:00.000000 UTC,11499.98,12244.0,11408.0,11879.95,16887.339524,2018-01-28 23:59:59.999000 UTC,200211582.9434541,206247,7342.786997,87011013.8320475,0
2018-01-29 00:00:00.000000 UTC,11879.95,11975.02,11139.55,11251.0,14170.377538,2018-01-29 23:59:59.999000 UTC,162110154.87880376,169199,6016.496871,68819972.52308752,0
2018-01-30 00:00:00.000000 UTC,11250.11,11308.42,9900.0,10237.51,25554.372946,2018-01-30 23:59:59.999000 UTC,268978329.50861526,259212,11388.096419,119864289.07103088,0
2018-01-31 00:00:00.000000 UTC,10230.0,10425.85,9700.0,10285.1,18015.956805,2018-01-31 23:59:59.999000 UTC,181644207.11316264,201422,8782.584442,88609272.64228792,0
2018-02-01 00:00:00.000000 UTC,10285.1,10335.0,8750.99,9224.52,33564.764311,2018-02-01 23:59:59.999000 UTC,317636345.9843711,316020,15430.003849,146130725.8704748,0
2018-02-02 00:00:00.000000 UTC,9224.52,9250.0,8010.02,8873.03,49971.626975,2018-02-02 23:59:59.999000 UTC,434236483.7044874,453411,23113.503584,201292749.5150992,0
2018-02-03 00:00:00.000000 UTC,8873.03,9473.01,8229.0,9199.96,28725.000735,2018-02-03 23:59:59.999000 UTC,256834729.0599109,327519,14182.838146,127068644.49604894,0
2018-02-04 00:00:00.000000 UTC,9199.96,9368.0,7930.0,8184.81,32014.308449,2018-02-04 23:59:59.999000 UTC,274912288.421322,356134,13805.29579,118884553.20936234,0
2018-02-05 00:00:00.000000 UTC,8179.99,8382.8,6625.0,6939.99,63403.182579,2018-02-05 23:59:59.999000 UTC,471166218.7134473,533510,29857.35839,222022401.0169236,0
2018-02-06 00:00:00.000000 UTC,6939.63,7878.0,6000.01,7652.14,100201.500307,2018-02-06 23:59:59.999000 UTC,684364276.3666689,785996,49565.020794,339117633.4088549,0
2018-02-07 00:00:00.000000 UTC,7655.02,8476.0,7150.01,7599.0,60778.460497,2018-02-07 23:59:59.999000 UTC,477935038.8117769,514893,30084.836266,237137973.4531389,0
2018-02-08 00:00:00.000000 UTC,7599.0,7844.0,7572.09,7784.02,1521.537318,2018-02-08 23:59:59.999000 UTC,11770168.04386595,12417,844.258813,6532638.63751892,0
2018-02-09 00:00:00.000000 UTC,7789.9,8738.0,7789.9,8683.92,20482.910825,2018-02-09 23:59:59.999000 UTC,173348469.81187892,273091,10404.040792,88117562.12096503,0
2018-02-10 00:00:00.000000 UTC,8683.93,9065.78,8120.0,8533.98,49381.512653,2018-02-10 23:59:59.999000 UTC,423411421.93098,537578,24506.723294,210253734.3806545,0
2018-02-11 00:00:00.000000 UTC,8533.99,8549.0,7726.53,8063.88,45025.187952,2018-02-11 23:59:59.999000 UTC,366966437.2498885,524626,23180.34192,188849914.3499584,0
2018-02-12 00:00:00.000000 UTC,8063.82,8989.0,8053.0,8903.0,41987.85049,2018-02-12 23:59:59.999000 UTC,362440826.9943769,477660,20916.949742,180528457.55458465,0
2018-02-13 00:00:00.000000 UTC,8903.0,8950.0,8351.0,8539.9,35454.972956,2018-02-13 23:59:59.999000 UTC,305165143.6969234,401893,16558.45568,142530987.43930227,0
2018-02-14 00:00:00.000000 UTC,8535.17,9489.6,8533.0,9449.99,40811.952867,2018-02-14 23:59:59.999000 UTC,370126692.728233,514897,20508.463444,185896385.02591047,0
2018-02-15 00:00:00.000000 UTC,9449.98,10219.5,9301.5,10000.09,52427.596715,2018-02-15 23:59:59.999000 UTC,512388484.73178285,608349,25805.098892,252255267.88356847,0
2018-02-16 00:00:00.000000 UTC,10000.89,10323.37,9666.0,10159.98,38161.205974,2018-02-16 23:59:59.999000 UTC,381103299.2238848,405310,18313.004466,182947133.88868245,0
2018-02-17 00:00:00.000000 UTC,10156.07,11075.07,10050.0,11039.55,41882.108407,2018-02-17 23:59:59.999000 UTC,446012696.1692673,413585,21147.624789,225229265.7256356,0
2018-02-18 00:00:00.000000 UTC,11039.55,11274.0,10080.0,10383.43,61137.380728,2018-02-18 23:59:59.999000 UTC,649423311.3100228,537534,29593.863774,314511909.4893312,0
2018-02-19 00:00:00.000000 UTC,10375.01,11250.0,10270.33,11153.0,40831.417131,2018-02-19 23:59:59.999000 UTC,443766562.68306607,366882,20619.877129,224193685.4379528,0
2018-02-20 00:00:00.000000 UTC,11147.11,11786.01,11100.59,11200.99,48153.354288,2018-02-20 23:59:59.999000 UTC,551573232.2429588,432197,24211.49181,277480902.01411927,0
2018-02-21 00:00:00.000000 UTC,11195.07,11304.03,10200.0,10437.6,68113.818754,2018-02-21 23:59:59.999000 UTC,731537130.492186,542340,32338.074002,347436564.666544,0
2018-02-22 00:00:00.000000 UTC,10439.02,10933.44,9679.0,9811.04,67060.166483,2018-02-22 23:59:59.999000 UTC,682006373.869588,506273,33029.297624,336067441.6325065,0
2018-02-23 00:00:00.000000 UTC,9815.55,10435.0,9570.19,10131.04,57202.70237,2018-02-23 23:59:59.999000 UTC,571800753.4709765,467480,28031.011368,280171693.0729712,0
2018-02-24 00:00:00.000000 UTC,10131.04,10496.97,9352.0,9694.51,40888.156299,2018-02-24 23:59:59.999000 UTC,405618586.64803785,337918,18646.870961,185164883.45171747,0
2018-02-25 00:00:00.000000 UTC,9694.51,9847.0,9274.8,9590.0,28373.517586,2018-02-25 23:59:59.999000 UTC,271286599.1260862,233567,13956.661533,133525539.44882144,0
2018-02-26 00:00:00.000000 UTC,9590.0,10444.32,9350.0,10324.0,34878.292756,2018-02-26 23:59:59.999000 UTC,347559259.73845184,285276,17045.768706,169936003.38761607,0
2018-02-27 00:00:00.000000 UTC,10321.0,10870.0,10121.0,10569.04,30705.385123,2018-02-27 23:59:59.999000 UTC,324295371.1414657,240542,15187.083738,160450471.4557678,0
2018-02-28 00:00:00.000000 UTC,10584.33,11098.0,10300.0,10326.76,30800.983782,2018-02-28 23:59:59.999000 UTC,327914696.13067526,277886,14412.84633,153537202.10196504,0
2018-03-01 00:00:00.000000 UTC,10325.64,11060.41,10240.0,10920.0,25092.55393,2018-03-01 23:59:59.999000 UTC,268172535.3811293,230428,12785.4045,136788817.23158327,0
2018-03-02 00:00:00.000000 UTC,10923.36,11200.0,10770.0,11039.0,23910.71009,2018-03-02 23:59:59.999000 UTC,262936307.0078576,211691,11893.333632,130864918.8230748,0
2018-03-03 00:00:00.000000 UTC,11038.99,11544.0,11015.01,11464.48,21287.15328,2018-03-03 23:59:59.999000 UTC,241749497.9024717,190444,10842.682784,123142920.22314858,0
